"","Year","datatopic","peryear_indicators"
"99",1962,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"100",1962,"Economic Policy & Debt: National accounts: Shares of GDP & other",19
"101",1962,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"102",1962,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"103",1962,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"104",1962,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"105",1962,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"106",1962,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"107",1962,"Economic Policy & Debt: Official development assistance",27
"108",1962,"Environment: Agricultural production",11
"109",1962,"Environment: Density & urbanization",11
"110",1962,"Environment: Energy production & use",15
"111",1962,"Environment: Freshwater",6
"112",1962,"Environment: Land use",9
"113",1962,"Financial Sector: Assets",9
"114",1962,"Financial Sector: Exchange rates & prices",7
"115",1962,"Financial Sector: Interest rates",4
"116",1962,"Financial Sector: Monetary holdings (liabilities)",4
"117",1962,"Health: Health systems",2
"118",1962,"Health: Mortality",17
"119",1962,"Health: Population: Dynamics",6
"120",1962,"Health: Population: Structure",58
"121",1962,"Health: Reproductive health",2
"122",1962,"Infrastructure: Communications",2
"123",1962,"Private Sector & Trade: Exports",23
"124",1962,"Private Sector & Trade: Imports",23
"125",1962,"Private Sector & Trade: Total merchandise trade",1
"126",1962,"Public Sector: Defense & arms trade",5
"127",1962,"Social Protection & Labor: Economic activity",6
"128",1962,"Social Protection & Labor: Labor force structure",7
"129",1962,"Social Protection & Labor: Migration",3
"130",1962,"Social Protection & Labor: Unemployment",6
"131",1963,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"132",1963,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"133",1963,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"134",1963,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"135",1963,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"136",1963,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"137",1963,"Economic Policy & Debt: National accounts: Growth rates",16
"138",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"139",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"140",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"141",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"142",1963,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"143",1963,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"144",1963,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"145",1963,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"146",1963,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"147",1963,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"148",1963,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"149",1963,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"150",1963,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"151",1963,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"152",1963,"Economic Policy & Debt: Official development assistance",28
"153",1963,"Environment: Agricultural production",11
"154",1963,"Environment: Density & urbanization",11
"155",1963,"Environment: Energy production & use",15
"156",1963,"Environment: Freshwater",6
"157",1963,"Environment: Land use",9
"158",1963,"Financial Sector: Assets",9
"159",1963,"Financial Sector: Exchange rates & prices",7
"160",1963,"Financial Sector: Interest rates",4
"161",1963,"Financial Sector: Monetary holdings (liabilities)",4
"162",1963,"Health: Health systems",2
"163",1963,"Health: Mortality",17
"164",1963,"Health: Population: Dynamics",6
"165",1963,"Health: Population: Structure",58
"166",1963,"Health: Reproductive health",4
"167",1963,"Infrastructure: Communications",2
"168",1963,"Poverty: Income distribution",9
"169",1963,"Poverty: Poverty rates",7
"170",1963,"Poverty: Shared prosperity",1
"171",1963,"Private Sector & Trade: Exports",23
"172",1963,"Private Sector & Trade: Imports",23
"173",1963,"Private Sector & Trade: Total merchandise trade",1
"174",1963,"Public Sector: Defense & arms trade",5
"175",1963,"Social Protection & Labor: Economic activity",6
"176",1963,"Social Protection & Labor: Labor force structure",7
"177",1963,"Social Protection & Labor: Migration",3
"178",1963,"Social Protection & Labor: Unemployment",6
"179",1964,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"180",1964,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"181",1964,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"182",1964,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"183",1964,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"184",1964,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"185",1964,"Economic Policy & Debt: National accounts: Growth rates",16
"186",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"187",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"188",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"189",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"190",1964,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"191",1964,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"192",1964,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"193",1964,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"194",1964,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"195",1964,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"196",1964,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"197",1964,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"198",1964,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"199",1964,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"200",1964,"Economic Policy & Debt: Official development assistance",28
"201",1964,"Environment: Agricultural production",11
"202",1964,"Environment: Density & urbanization",11
"203",1964,"Environment: Energy production & use",15
"204",1964,"Environment: Freshwater",6
"205",1964,"Environment: Land use",9
"206",1964,"Financial Sector: Assets",9
"207",1964,"Financial Sector: Exchange rates & prices",7
"208",1964,"Financial Sector: Interest rates",4
"209",1964,"Financial Sector: Monetary holdings (liabilities)",4
"210",1964,"Health: Health systems",2
"211",1964,"Health: Mortality",17
"212",1964,"Health: Population: Dynamics",6
"213",1964,"Health: Population: Structure",58
"214",1964,"Health: Reproductive health",2
"215",1964,"Infrastructure: Communications",2
"216",1964,"Poverty: Income distribution",9
"217",1964,"Poverty: Poverty rates",7
"218",1964,"Poverty: Shared prosperity",1
"219",1964,"Private Sector & Trade: Exports",23
"220",1964,"Private Sector & Trade: Imports",23
"221",1964,"Private Sector & Trade: Total merchandise trade",1
"222",1964,"Public Sector: Defense & arms trade",5
"223",1964,"Social Protection & Labor: Economic activity",6
"224",1964,"Social Protection & Labor: Labor force structure",7
"225",1964,"Social Protection & Labor: Migration",3
"226",1964,"Social Protection & Labor: Unemployment",6
"227",1965,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"228",1965,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"229",1965,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"230",1965,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"231",1965,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"232",1965,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"233",1965,"Economic Policy & Debt: National accounts: Growth rates",16
"234",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"235",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"236",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"237",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"238",1965,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"239",1965,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"240",1965,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"241",1965,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"242",1965,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"243",1965,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"244",1965,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"245",1965,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"246",1965,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"247",1965,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"248",1965,"Economic Policy & Debt: Official development assistance",30
"249",1965,"Environment: Agricultural production",11
"250",1965,"Environment: Density & urbanization",11
"251",1965,"Environment: Energy production & use",15
"252",1965,"Environment: Freshwater",9
"253",1965,"Environment: Land use",9
"254",1965,"Financial Sector: Assets",9
"255",1965,"Financial Sector: Exchange rates & prices",7
"256",1965,"Financial Sector: Interest rates",4
"257",1965,"Financial Sector: Monetary holdings (liabilities)",4
"258",1965,"Health: Health systems",2
"259",1965,"Health: Mortality",17
"260",1965,"Health: Population: Dynamics",6
"261",1965,"Health: Population: Structure",58
"262",1965,"Health: Reproductive health",4
"263",1965,"Infrastructure: Communications",7
"264",1965,"Poverty: Income distribution",9
"265",1965,"Poverty: Poverty rates",7
"266",1965,"Poverty: Shared prosperity",1
"267",1965,"Private Sector & Trade: Exports",23
"268",1965,"Private Sector & Trade: Imports",23
"269",1965,"Private Sector & Trade: Total merchandise trade",1
"270",1965,"Public Sector: Defense & arms trade",5
"271",1965,"Social Protection & Labor: Economic activity",6
"272",1965,"Social Protection & Labor: Labor force structure",7
"273",1965,"Social Protection & Labor: Migration",4
"274",1965,"Social Protection & Labor: Unemployment",6
"275",1966,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"276",1966,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"277",1966,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"278",1966,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"279",1966,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"280",1966,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"281",1966,"Economic Policy & Debt: National accounts: Growth rates",16
"282",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"283",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"284",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"285",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"286",1966,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"287",1966,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"288",1966,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"289",1966,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"290",1966,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"291",1966,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"292",1966,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"293",1966,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"294",1966,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"295",1966,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"296",1966,"Economic Policy & Debt: Official development assistance",29
"297",1966,"Environment: Agricultural production",11
"298",1966,"Environment: Density & urbanization",11
"299",1966,"Environment: Energy production & use",15
"300",1966,"Environment: Freshwater",9
"301",1966,"Environment: Land use",9
"302",1966,"Financial Sector: Assets",9
"303",1966,"Financial Sector: Exchange rates & prices",7
"304",1966,"Financial Sector: Interest rates",4
"305",1966,"Financial Sector: Monetary holdings (liabilities)",4
"306",1966,"Health: Health systems",2
"307",1966,"Health: Mortality",17
"308",1966,"Health: Population: Dynamics",6
"309",1966,"Health: Population: Structure",58
"310",1966,"Health: Reproductive health",4
"311",1966,"Infrastructure: Communications",4
"312",1966,"Poverty: Income distribution",9
"313",1966,"Poverty: Poverty rates",7
"314",1966,"Poverty: Shared prosperity",1
"315",1966,"Private Sector & Trade: Exports",23
"316",1966,"Private Sector & Trade: Imports",23
"317",1966,"Private Sector & Trade: Total merchandise trade",1
"318",1966,"Public Sector: Defense & arms trade",5
"319",1966,"Social Protection & Labor: Economic activity",6
"320",1966,"Social Protection & Labor: Labor force structure",7
"321",1966,"Social Protection & Labor: Migration",3
"322",1966,"Social Protection & Labor: Unemployment",6
"323",1967,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"324",1967,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"325",1967,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"326",1967,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"327",1967,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"328",1967,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"329",1967,"Economic Policy & Debt: National accounts: Growth rates",16
"330",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"331",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"332",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"333",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"334",1967,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"335",1967,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"336",1967,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"337",1967,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"338",1967,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"339",1967,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"340",1967,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"341",1967,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"342",1967,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"343",1967,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"344",1967,"Economic Policy & Debt: Official development assistance",31
"345",1967,"Environment: Agricultural production",11
"346",1967,"Environment: Density & urbanization",11
"347",1967,"Environment: Energy production & use",15
"348",1967,"Environment: Freshwater",9
"349",1967,"Environment: Land use",9
"350",1967,"Financial Sector: Assets",9
"351",1967,"Financial Sector: Exchange rates & prices",7
"352",1967,"Financial Sector: Interest rates",5
"353",1967,"Financial Sector: Monetary holdings (liabilities)",4
"354",1967,"Health: Health systems",2
"355",1967,"Health: Mortality",17
"356",1967,"Health: Population: Dynamics",6
"357",1967,"Health: Population: Structure",58
"358",1967,"Health: Reproductive health",4
"359",1967,"Infrastructure: Communications",4
"360",1967,"Poverty: Income distribution",9
"361",1967,"Poverty: Poverty rates",7
"362",1967,"Poverty: Shared prosperity",1
"363",1967,"Private Sector & Trade: Exports",23
"364",1967,"Private Sector & Trade: Imports",23
"365",1967,"Private Sector & Trade: Total merchandise trade",1
"366",1967,"Public Sector: Defense & arms trade",5
"367",1967,"Social Protection & Labor: Economic activity",6
"368",1967,"Social Protection & Labor: Labor force structure",7
"369",1967,"Social Protection & Labor: Migration",3
"370",1967,"Social Protection & Labor: Unemployment",6
"371",1968,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"372",1968,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"373",1968,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"374",1968,"Economic Policy & Debt: Balance of payments: Current account: Transfers",4
"375",1968,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"376",1968,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"377",1968,"Economic Policy & Debt: National accounts: Growth rates",16
"378",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"379",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"380",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"381",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"382",1968,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"383",1968,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"384",1968,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"385",1968,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"386",1968,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"387",1968,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"388",1968,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"389",1968,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"390",1968,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"391",1968,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"392",1968,"Economic Policy & Debt: Official development assistance",31
"393",1968,"Environment: Agricultural production",11
"394",1968,"Environment: Density & urbanization",11
"395",1968,"Environment: Energy production & use",15
"396",1968,"Environment: Freshwater",9
"397",1968,"Environment: Land use",9
"398",1968,"Financial Sector: Assets",9
"399",1968,"Financial Sector: Exchange rates & prices",7
"400",1968,"Financial Sector: Interest rates",5
"401",1968,"Financial Sector: Monetary holdings (liabilities)",4
"402",1968,"Health: Health systems",2
"403",1968,"Health: Mortality",17
"404",1968,"Health: Population: Dynamics",6
"405",1968,"Health: Population: Structure",58
"406",1968,"Health: Reproductive health",4
"407",1968,"Infrastructure: Communications",4
"408",1968,"Poverty: Income distribution",9
"409",1968,"Poverty: Poverty rates",7
"410",1968,"Poverty: Shared prosperity",1
"411",1968,"Private Sector & Trade: Exports",23
"412",1968,"Private Sector & Trade: Imports",23
"413",1968,"Private Sector & Trade: Total merchandise trade",1
"414",1968,"Public Sector: Defense & arms trade",5
"415",1968,"Social Protection & Labor: Economic activity",6
"416",1968,"Social Protection & Labor: Labor force structure",7
"417",1968,"Social Protection & Labor: Migration",3
"418",1968,"Social Protection & Labor: Unemployment",6
"419",1969,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"420",1969,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"421",1969,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"422",1969,"Economic Policy & Debt: Balance of payments: Current account: Transfers",4
"423",1969,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"424",1969,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"425",1969,"Economic Policy & Debt: National accounts: Growth rates",16
"426",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"427",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"428",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"429",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"430",1969,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"431",1969,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"432",1969,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"433",1969,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"434",1969,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"435",1969,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"436",1969,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"437",1969,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"438",1969,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"439",1969,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"440",1969,"Economic Policy & Debt: Official development assistance",35
"441",1969,"Environment: Agricultural production",11
"442",1969,"Environment: Density & urbanization",11
"443",1969,"Environment: Energy production & use",15
"444",1969,"Environment: Freshwater",9
"445",1969,"Environment: Land use",9
"446",1969,"Financial Sector: Assets",9
"447",1969,"Financial Sector: Exchange rates & prices",7
"448",1969,"Financial Sector: Interest rates",5
"449",1969,"Financial Sector: Monetary holdings (liabilities)",4
"450",1969,"Health: Health systems",2
"451",1969,"Health: Mortality",17
"452",1969,"Health: Population: Dynamics",6
"453",1969,"Health: Population: Structure",58
"454",1969,"Health: Reproductive health",4
"455",1969,"Infrastructure: Communications",4
"456",1969,"Poverty: Income distribution",9
"457",1969,"Poverty: Poverty rates",7
"458",1969,"Poverty: Shared prosperity",1
"459",1969,"Private Sector & Trade: Exports",23
"460",1969,"Private Sector & Trade: Imports",23
"461",1969,"Private Sector & Trade: Total merchandise trade",1
"462",1969,"Public Sector: Defense & arms trade",5
"463",1969,"Social Protection & Labor: Economic activity",6
"464",1969,"Social Protection & Labor: Labor force structure",7
"465",1969,"Social Protection & Labor: Migration",3
