"","Year","datatopic","peryear_indicators"
"98",1962,"Economic Policy & Debt: National accounts: Shares of GDP & other",19
"99",1962,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"100",1962,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"101",1962,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"102",1962,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"103",1962,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"104",1962,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"105",1962,"Economic Policy & Debt: Official development assistance",27
"106",1962,"Environment: Agricultural production",11
"107",1962,"Environment: Density & urbanization",11
"108",1962,"Environment: Freshwater",6
"109",1962,"Environment: Land use",9
"110",1962,"Financial Sector: Assets",9
"111",1962,"Financial Sector: Exchange rates & prices",7
"112",1962,"Financial Sector: Interest rates",4
"113",1962,"Financial Sector: Monetary holdings (liabilities)",4
"114",1962,"Health: Health systems",2
"115",1962,"Health: Mortality",17
"116",1962,"Health: Population: Dynamics",6
"117",1962,"Health: Population: Structure",58
"118",1962,"Health: Reproductive health",2
"119",1962,"Infrastructure: Communications",2
"120",1962,"Private Sector & Trade: Exports",23
"121",1962,"Private Sector & Trade: Imports",23
"122",1962,"Private Sector & Trade: Total merchandise trade",1
"123",1962,"Public Sector: Defense & arms trade",5
"124",1962,"Social Protection & Labor: Economic activity",6
"125",1962,"Social Protection & Labor: Labor force structure",7
"126",1962,"Social Protection & Labor: Migration",5
"127",1962,"Social Protection & Labor: Unemployment",6
"128",1963,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"129",1963,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"130",1963,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"131",1963,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"132",1963,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"133",1963,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"134",1963,"Economic Policy & Debt: National accounts: Growth rates",16
"135",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"136",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"137",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"138",1963,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"139",1963,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"140",1963,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"141",1963,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"142",1963,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"143",1963,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"144",1963,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"145",1963,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"146",1963,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"147",1963,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"148",1963,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"149",1963,"Economic Policy & Debt: Official development assistance",28
"150",1963,"Environment: Agricultural production",11
"151",1963,"Environment: Density & urbanization",11
"152",1963,"Environment: Freshwater",6
"153",1963,"Environment: Land use",9
"154",1963,"Financial Sector: Assets",9
"155",1963,"Financial Sector: Exchange rates & prices",7
"156",1963,"Financial Sector: Interest rates",4
"157",1963,"Financial Sector: Monetary holdings (liabilities)",4
"158",1963,"Health: Health systems",2
"159",1963,"Health: Mortality",17
"160",1963,"Health: Population: Dynamics",6
"161",1963,"Health: Population: Structure",58
"162",1963,"Health: Reproductive health",4
"163",1963,"Infrastructure: Communications",2
"164",1963,"Poverty: Income distribution",9
"165",1963,"Poverty: Poverty rates",7
"166",1963,"Poverty: Shared prosperity",1
"167",1963,"Private Sector & Trade: Exports",23
"168",1963,"Private Sector & Trade: Imports",23
"169",1963,"Private Sector & Trade: Total merchandise trade",1
"170",1963,"Public Sector: Defense & arms trade",5
"171",1963,"Social Protection & Labor: Economic activity",6
"172",1963,"Social Protection & Labor: Labor force structure",7
"173",1963,"Social Protection & Labor: Migration",5
"174",1963,"Social Protection & Labor: Unemployment",6
"175",1964,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"176",1964,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"177",1964,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"178",1964,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"179",1964,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"180",1964,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"181",1964,"Economic Policy & Debt: National accounts: Growth rates",16
"182",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"183",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"184",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"185",1964,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"186",1964,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"187",1964,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"188",1964,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"189",1964,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"190",1964,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"191",1964,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"192",1964,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"193",1964,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"194",1964,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"195",1964,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"196",1964,"Economic Policy & Debt: Official development assistance",28
"197",1964,"Environment: Agricultural production",11
"198",1964,"Environment: Density & urbanization",11
"199",1964,"Environment: Freshwater",6
"200",1964,"Environment: Land use",9
"201",1964,"Financial Sector: Assets",9
"202",1964,"Financial Sector: Exchange rates & prices",7
"203",1964,"Financial Sector: Interest rates",4
"204",1964,"Financial Sector: Monetary holdings (liabilities)",4
"205",1964,"Health: Health systems",2
"206",1964,"Health: Mortality",17
"207",1964,"Health: Population: Dynamics",6
"208",1964,"Health: Population: Structure",58
"209",1964,"Health: Reproductive health",2
"210",1964,"Infrastructure: Communications",2
"211",1964,"Poverty: Income distribution",9
"212",1964,"Poverty: Poverty rates",7
"213",1964,"Poverty: Shared prosperity",1
"214",1964,"Private Sector & Trade: Exports",23
"215",1964,"Private Sector & Trade: Imports",23
"216",1964,"Private Sector & Trade: Total merchandise trade",1
"217",1964,"Public Sector: Defense & arms trade",5
"218",1964,"Social Protection & Labor: Economic activity",6
"219",1964,"Social Protection & Labor: Labor force structure",7
"220",1964,"Social Protection & Labor: Migration",5
"221",1964,"Social Protection & Labor: Unemployment",6
"222",1965,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"223",1965,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"224",1965,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"225",1965,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"226",1965,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"227",1965,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"228",1965,"Economic Policy & Debt: National accounts: Growth rates",16
"229",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"230",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"231",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"232",1965,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"233",1965,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"234",1965,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"235",1965,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"236",1965,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"237",1965,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"238",1965,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"239",1965,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"240",1965,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"241",1965,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"242",1965,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"243",1965,"Economic Policy & Debt: Official development assistance",30
"244",1965,"Environment: Agricultural production",11
"245",1965,"Environment: Density & urbanization",11
"246",1965,"Environment: Freshwater",9
"247",1965,"Environment: Land use",9
"248",1965,"Financial Sector: Assets",9
"249",1965,"Financial Sector: Exchange rates & prices",7
"250",1965,"Financial Sector: Interest rates",4
"251",1965,"Financial Sector: Monetary holdings (liabilities)",4
"252",1965,"Health: Health systems",2
"253",1965,"Health: Mortality",17
"254",1965,"Health: Population: Dynamics",6
"255",1965,"Health: Population: Structure",58
"256",1965,"Health: Reproductive health",4
"257",1965,"Infrastructure: Communications",6
"258",1965,"Poverty: Income distribution",9
"259",1965,"Poverty: Poverty rates",7
"260",1965,"Poverty: Shared prosperity",1
"261",1965,"Private Sector & Trade: Exports",23
"262",1965,"Private Sector & Trade: Imports",23
"263",1965,"Private Sector & Trade: Total merchandise trade",1
"264",1965,"Public Sector: Defense & arms trade",5
"265",1965,"Social Protection & Labor: Economic activity",6
"266",1965,"Social Protection & Labor: Labor force structure",7
"267",1965,"Social Protection & Labor: Migration",5
"268",1965,"Social Protection & Labor: Unemployment",6
"269",1966,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"270",1966,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"271",1966,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"272",1966,"Economic Policy & Debt: Balance of payments: Current account: Transfers",4
"273",1966,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"274",1966,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"275",1966,"Economic Policy & Debt: National accounts: Growth rates",16
"276",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"277",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"278",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"279",1966,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"280",1966,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"281",1966,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"282",1966,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"283",1966,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"284",1966,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"285",1966,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"286",1966,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"287",1966,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"288",1966,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"289",1966,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"290",1966,"Economic Policy & Debt: Official development assistance",29
"291",1966,"Environment: Agricultural production",11
"292",1966,"Environment: Density & urbanization",11
"293",1966,"Environment: Freshwater",9
"294",1966,"Environment: Land use",9
"295",1966,"Financial Sector: Assets",9
"296",1966,"Financial Sector: Exchange rates & prices",7
"297",1966,"Financial Sector: Interest rates",4
"298",1966,"Financial Sector: Monetary holdings (liabilities)",4
"299",1966,"Health: Health systems",2
"300",1966,"Health: Mortality",17
"301",1966,"Health: Population: Dynamics",6
"302",1966,"Health: Population: Structure",58
"303",1966,"Health: Reproductive health",4
"304",1966,"Infrastructure: Communications",4
"305",1966,"Poverty: Income distribution",9
"306",1966,"Poverty: Poverty rates",7
"307",1966,"Poverty: Shared prosperity",1
"308",1966,"Private Sector & Trade: Exports",23
"309",1966,"Private Sector & Trade: Imports",23
"310",1966,"Private Sector & Trade: Total merchandise trade",1
"311",1966,"Public Sector: Defense & arms trade",5
"312",1966,"Social Protection & Labor: Economic activity",6
"313",1966,"Social Protection & Labor: Labor force structure",7
"314",1966,"Social Protection & Labor: Migration",5
"315",1966,"Social Protection & Labor: Unemployment",6
"316",1967,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"317",1967,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"318",1967,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"319",1967,"Economic Policy & Debt: Balance of payments: Current account: Transfers",4
"320",1967,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"321",1967,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"322",1967,"Economic Policy & Debt: National accounts: Growth rates",16
"323",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"324",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"325",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"326",1967,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"327",1967,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"328",1967,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"329",1967,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"330",1967,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"331",1967,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"332",1967,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"333",1967,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"334",1967,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"335",1967,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"336",1967,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"337",1967,"Economic Policy & Debt: Official development assistance",31
"338",1967,"Environment: Agricultural production",11
"339",1967,"Environment: Density & urbanization",11
"340",1967,"Environment: Freshwater",9
"341",1967,"Environment: Land use",9
"342",1967,"Financial Sector: Assets",9
"343",1967,"Financial Sector: Exchange rates & prices",7
"344",1967,"Financial Sector: Interest rates",5
"345",1967,"Financial Sector: Monetary holdings (liabilities)",4
"346",1967,"Health: Health systems",2
"347",1967,"Health: Mortality",17
"348",1967,"Health: Population: Dynamics",6
"349",1967,"Health: Population: Structure",58
"350",1967,"Health: Reproductive health",4
"351",1967,"Infrastructure: Communications",4
"352",1967,"Poverty: Income distribution",9
"353",1967,"Poverty: Poverty rates",7
"354",1967,"Poverty: Shared prosperity",1
"355",1967,"Private Sector & Trade: Exports",23
"356",1967,"Private Sector & Trade: Imports",23
"357",1967,"Private Sector & Trade: Total merchandise trade",1
"358",1967,"Public Sector: Defense & arms trade",5
"359",1967,"Social Protection & Labor: Economic activity",6
"360",1967,"Social Protection & Labor: Labor force structure",7
"361",1967,"Social Protection & Labor: Migration",5
"362",1967,"Social Protection & Labor: Unemployment",6
"363",1968,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"364",1968,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"365",1968,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"366",1968,"Economic Policy & Debt: Balance of payments: Current account: Transfers",5
"367",1968,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"368",1968,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"369",1968,"Economic Policy & Debt: National accounts: Growth rates",16
"370",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"371",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"372",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"373",1968,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"374",1968,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"375",1968,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"376",1968,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"377",1968,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"378",1968,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"379",1968,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"380",1968,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"381",1968,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"382",1968,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"383",1968,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"384",1968,"Economic Policy & Debt: Official development assistance",31
"385",1968,"Environment: Agricultural production",11
"386",1968,"Environment: Density & urbanization",11
"387",1968,"Environment: Freshwater",9
"388",1968,"Environment: Land use",9
"389",1968,"Financial Sector: Assets",9
"390",1968,"Financial Sector: Exchange rates & prices",7
"391",1968,"Financial Sector: Interest rates",5
"392",1968,"Financial Sector: Monetary holdings (liabilities)",4
"393",1968,"Health: Health systems",2
"394",1968,"Health: Mortality",17
"395",1968,"Health: Population: Dynamics",6
"396",1968,"Health: Population: Structure",58
"397",1968,"Health: Reproductive health",4
"398",1968,"Infrastructure: Communications",4
"399",1968,"Poverty: Income distribution",9
"400",1968,"Poverty: Poverty rates",7
"401",1968,"Poverty: Shared prosperity",1
"402",1968,"Private Sector & Trade: Exports",23
"403",1968,"Private Sector & Trade: Imports",23
"404",1968,"Private Sector & Trade: Total merchandise trade",1
"405",1968,"Public Sector: Defense & arms trade",5
"406",1968,"Social Protection & Labor: Economic activity",6
"407",1968,"Social Protection & Labor: Labor force structure",7
"408",1968,"Social Protection & Labor: Migration",5
"409",1968,"Social Protection & Labor: Unemployment",6
"410",1969,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"411",1969,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"412",1969,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"413",1969,"Economic Policy & Debt: Balance of payments: Current account: Transfers",5
"414",1969,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"415",1969,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"416",1969,"Economic Policy & Debt: National accounts: Growth rates",16
"417",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"418",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"419",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"420",1969,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"421",1969,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"422",1969,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"423",1969,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"424",1969,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"425",1969,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"426",1969,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"427",1969,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"428",1969,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"429",1969,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"430",1969,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"431",1969,"Economic Policy & Debt: Official development assistance",35
"432",1969,"Environment: Agricultural production",11
"433",1969,"Environment: Density & urbanization",11
"434",1969,"Environment: Freshwater",9
"435",1969,"Environment: Land use",9
"436",1969,"Financial Sector: Assets",9
"437",1969,"Financial Sector: Exchange rates & prices",7
"438",1969,"Financial Sector: Interest rates",5
"439",1969,"Financial Sector: Monetary holdings (liabilities)",4
"440",1969,"Health: Health systems",2
"441",1969,"Health: Mortality",17
"442",1969,"Health: Population: Dynamics",6
"443",1969,"Health: Population: Structure",58
"444",1969,"Health: Reproductive health",4
"445",1969,"Infrastructure: Communications",4
"446",1969,"Poverty: Income distribution",9
"447",1969,"Poverty: Poverty rates",7
"448",1969,"Poverty: Shared prosperity",1
"449",1969,"Private Sector & Trade: Exports",23
"450",1969,"Private Sector & Trade: Imports",23
"451",1969,"Private Sector & Trade: Total merchandise trade",1
"452",1969,"Public Sector: Defense & arms trade",5
"453",1969,"Social Protection & Labor: Economic activity",6
"454",1969,"Social Protection & Labor: Labor force structure",7
"455",1969,"Social Protection & Labor: Migration",5
"456",1969,"Social Protection & Labor: Unemployment",6
"457",1970,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"458",1970,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"459",1970,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"460",1970,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
