"","Country.Code","datatopic","percountry_indicators"
"65","AFG","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"66","AFG","Economic Policy & Debt: Balance of payments: Reserves & other items",6
"67","AFG","Economic Policy & Debt: External debt: Debt outstanding",9
"68","AFG","Economic Policy & Debt: External debt: Debt ratios & other items",9
"69","AFG","Economic Policy & Debt: External debt: Debt service",5
"70","AFG","Economic Policy & Debt: External debt: Net flows",10
"71","AFG","Economic Policy & Debt: National accounts: Adjusted savings & income",21
"72","AFG","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"73","AFG","Economic Policy & Debt: National accounts: Growth rates",15
"74","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",6
"75","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"76","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"77","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"78","AFG","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"79","AFG","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",14
"80","AFG","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",4
"81","AFG","Economic Policy & Debt: National accounts: Shares of GDP & other",20
"82","AFG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"83","AFG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"84","AFG","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"85","AFG","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"86","AFG","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"87","AFG","Economic Policy & Debt: Official development assistance",59
"88","AFG","Economic Policy & Debt: Purchasing power parity",13
"89","AFG","Education: Efficiency",21
"90","AFG","Education: Inputs",27
"91","AFG","Education: Outcomes",43
"92","AFG","Education: Participation",44
"93","AFG","Employment and Time Use",1
"94","AFG","Environment: Agricultural production",13
"95","AFG","Environment: Biodiversity & protected areas",6
"96","AFG","Environment: Density & urbanization",12
"97","AFG","Environment: Emissions",32
"98","AFG","Environment: Energy production & use",9
"99","AFG","Environment: Freshwater",9
"100","AFG","Environment: Land use",23
"101","AFG","Environment: Natural resources contribution to GDP",6
"102","AFG","Financial Sector: Access",14
"103","AFG","Financial Sector: Assets",12
"104","AFG","Financial Sector: Exchange rates & prices",8
"105","AFG","Financial Sector: Interest rates",2
"106","AFG","Financial Sector: Monetary holdings (liabilities)",4
"107","AFG","Gender: Agency",2
"108","AFG","Gender: Health",7
"109","AFG","Gender: Public life & decision making",2
"110","AFG","Health",2
"111","AFG","Health: Disease prevention",22
"112","AFG","Health: Health systems",22
"113","AFG","Health: Mortality",39
"114","AFG","Health: Nutrition",25
"115","AFG","Health: Population: Dynamics",12
"116","AFG","Health: Population: Structure",58
"117","AFG","Health: Reproductive health",16
"118","AFG","Health: Risk factors",29
"119","AFG","Health: Universal Health Coverage",12
"120","AFG","Infrastructure: Communications",13
"121","AFG","Infrastructure: Technology",4
"122","AFG","Infrastructure: Transportation",5
"123","AFG","Poverty: Poverty rates",2
"124","AFG","Private Sector & Trade: Business environment",53
"125","AFG","Private Sector & Trade: Exports",23
"126","AFG","Private Sector & Trade: Imports",23
"127","AFG","Private Sector & Trade: Private infrastructure investment",3
"128","AFG","Private Sector & Trade: Tariffs",24
"129","AFG","Private Sector & Trade: Total merchandise trade",1
"130","AFG","Private Sector & Trade: Trade facilitation",16
"131","AFG","Private Sector & Trade: Trade indexes",5
"132","AFG","Private Sector & Trade: Trade price indices",2
"133","AFG","Private Sector & Trade: Travel & tourism",8
"134","AFG","Public Sector: Conflict & fragility",7
"135","AFG","Public Sector: Defense & arms trade",8
"136","AFG","Public Sector: Government finance",1
"137","AFG","Public Sector: Government finance: Deficit & financing",8
"138","AFG","Public Sector: Government finance: Expense",13
"139","AFG","Public Sector: Government finance: Revenue",22
"140","AFG","Public Sector: Policy & institutions",76
"141","AFG","Social Protection & Labor: Economic activity",62
"142","AFG","Social Protection & Labor: Labor force structure",28
"143","AFG","Social Protection & Labor: Migration",5
"144","AFG","Social Protection & Labor: Performance",19
"145","AFG","Social Protection & Labor: Unemployment",24
"146","AFG","Trade",1
"147","AGO","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"148","AGO","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"149","AGO","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"150","AGO","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"151","AGO","Economic Policy & Debt: Balance of payments: Reserves & other items",6
"152","AGO","Economic Policy & Debt: External debt: Debt outstanding",10
"153","AGO","Economic Policy & Debt: External debt: Debt ratios & other items",11
"154","AGO","Economic Policy & Debt: External debt: Debt service",5
"155","AGO","Economic Policy & Debt: External debt: Net flows",18
"156","AGO","Economic Policy & Debt: National accounts: Adjusted savings & income",28
"157","AGO","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"158","AGO","Economic Policy & Debt: National accounts: Growth rates",16
"159","AGO","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",6
"160","AGO","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"161","AGO","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"162","AGO","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"163","AGO","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"164","AGO","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",14
"165","AGO","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"166","AGO","Economic Policy & Debt: National accounts: Shares of GDP & other",20
"167","AGO","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"168","AGO","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"169","AGO","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"170","AGO","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"171","AGO","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"172","AGO","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"173","AGO","Economic Policy & Debt: Official development assistance",56
"174","AGO","Economic Policy & Debt: Purchasing power parity",13
"175","AGO","Education: Efficiency",21
"176","AGO","Education: Inputs",40
"177","AGO","Education: Outcomes",40
"178","AGO","Education: Participation",44
"179","AGO","Employment and Time Use",1
"180","AGO","Environment: Agricultural production",12
"181","AGO","Environment: Biodiversity & protected areas",7
"182","AGO","Environment: Density & urbanization",12
"183","AGO","Environment: Emissions",41
"184","AGO","Environment: Energy production & use",27
"185","AGO","Environment: Freshwater",9
"186","AGO","Environment: Land use",22
"187","AGO","Environment: Natural resources contribution to GDP",6
"188","AGO","Financial Sector: Access",14
"189","AGO","Financial Sector: Assets",14
"190","AGO","Financial Sector: Exchange rates & prices",9
"191","AGO","Financial Sector: Interest rates",5
"192","AGO","Financial Sector: Monetary holdings (liabilities)",4
"193","AGO","Gender: Agency",2
"194","AGO","Gender: Health",7
"195","AGO","Gender: Public life & decision making",3
"196","AGO","Health",2
"197","AGO","Health: Disease prevention",19
"198","AGO","Health: Health systems",20
"199","AGO","Health: Mortality",39
"200","AGO","Health: Nutrition",26
"201","AGO","Health: Population: Dynamics",12
"202","AGO","Health: Population: Structure",58
"203","AGO","Health: Reproductive health",16
"204","AGO","Health: Risk factors",28
"205","AGO","Health: Universal Health Coverage",12
"206","AGO","Infrastructure: Communications",13
"207","AGO","Infrastructure: Technology",11
"208","AGO","Infrastructure: Transportation",7
"209","AGO","Poverty: Income distribution",9
"210","AGO","Poverty: Poverty rates",10
"211","AGO","Private Sector & Trade: Business environment",51
"212","AGO","Private Sector & Trade: Exports",23
"213","AGO","Private Sector & Trade: Imports",23
"214","AGO","Private Sector & Trade: Private infrastructure investment",5
"215","AGO","Private Sector & Trade: Tariffs",24
"216","AGO","Private Sector & Trade: Total merchandise trade",1
"217","AGO","Private Sector & Trade: Trade facilitation",16
"218","AGO","Private Sector & Trade: Trade indexes",5
"219","AGO","Private Sector & Trade: Trade price indices",2
"220","AGO","Private Sector & Trade: Travel & tourism",10
"221","AGO","Public Sector: Conflict & fragility",3
"222","AGO","Public Sector: Defense & arms trade",8
"223","AGO","Public Sector: Government finance",1
"224","AGO","Public Sector: Government finance: Deficit & financing",8
"225","AGO","Public Sector: Government finance: Expense",13
"226","AGO","Public Sector: Government finance: Revenue",22
"227","AGO","Public Sector: Policy & institutions",76
"228","AGO","Social Protection & Labor: Economic activity",62
"229","AGO","Social Protection & Labor: Labor force structure",28
"230","AGO","Social Protection & Labor: Migration",5
"231","AGO","Social Protection & Labor: Performance",23
"232","AGO","Social Protection & Labor: Unemployment",24
"233","AGO","Trade",1
"234","ALB","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"235","ALB","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"236","ALB","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"237","ALB","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"238","ALB","Economic Policy & Debt: Balance of payments: Reserves & other items",6
"239","ALB","Economic Policy & Debt: External debt: Debt outstanding",10
"240","ALB","Economic Policy & Debt: External debt: Debt ratios & other items",11
"241","ALB","Economic Policy & Debt: External debt: Debt service",5
"242","ALB","Economic Policy & Debt: External debt: Net flows",19
"243","ALB","Economic Policy & Debt: National accounts: Adjusted savings & income",28
"244","ALB","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"245","ALB","Economic Policy & Debt: National accounts: Growth rates",16
"246","ALB","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"247","ALB","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"248","ALB","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"249","ALB","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"250","ALB","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"251","ALB","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",13
"252","ALB","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",4
"253","ALB","Economic Policy & Debt: National accounts: Shares of GDP & other",24
"254","ALB","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"255","ALB","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"256","ALB","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"257","ALB","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"258","ALB","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"259","ALB","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"260","ALB","Economic Policy & Debt: Official development assistance",60
"261","ALB","Economic Policy & Debt: Purchasing power parity",13
"262","ALB","Education: Efficiency",21
"263","ALB","Education: Inputs",41
"264","ALB","Education: Outcomes",43
"265","ALB","Education: Participation",44
"266","ALB","Employment and Time Use",1
"267","ALB","Environment: Agricultural production",13
"268","ALB","Environment: Biodiversity & protected areas",7
"269","ALB","Environment: Density & urbanization",10
"270","ALB","Environment: Emissions",42
"271","ALB","Environment: Energy production & use",27
"272","ALB","Environment: Freshwater",9
"273","ALB","Environment: Land use",23
"274","ALB","Environment: Natural resources contribution to GDP",6
"275","ALB","Financial Sector: Access",14
"276","ALB","Financial Sector: Assets",14
"277","ALB","Financial Sector: Exchange rates & prices",9
"278","ALB","Financial Sector: Interest rates",5
"279","ALB","Financial Sector: Monetary holdings (liabilities)",4
"280","ALB","Gender: Agency",2
"281","ALB","Gender: Health",6
"282","ALB","Gender: Participation & access",2
"283","ALB","Gender: Public life & decision making",3
"284","ALB","Health",2
"285","ALB","Health: Disease prevention",19
"286","ALB","Health: Health systems",22
"287","ALB","Health: Mortality",39
"288","ALB","Health: Nutrition",25
"289","ALB","Health: Population: Dynamics",13
"290","ALB","Health: Population: Structure",58
"291","ALB","Health: Reproductive health",16
"292","ALB","Health: Risk factors",27
"293","ALB","Health: Universal Health Coverage",12
"294","ALB","Infrastructure: Communications",13
"295","ALB","Infrastructure: Technology",13
"296","ALB","Infrastructure: Transportation",10
"297","ALB","Poverty: Income distribution",9
"298","ALB","Poverty: Poverty rates",10
"299","ALB","Poverty: Shared prosperity",4
"300","ALB","Private Sector & Trade: Business environment",54
"301","ALB","Private Sector & Trade: Exports",23
"302","ALB","Private Sector & Trade: Imports",23
"303","ALB","Private Sector & Trade: Private infrastructure investment",7
"304","ALB","Private Sector & Trade: Tariffs",24
"305","ALB","Private Sector & Trade: Total merchandise trade",1
"306","ALB","Private Sector & Trade: Trade facilitation",16
"307","ALB","Private Sector & Trade: Trade indexes",5
"308","ALB","Private Sector & Trade: Trade price indices",2
"309","ALB","Private Sector & Trade: Travel & tourism",10
"310","ALB","Public Sector: Conflict & fragility",5
"311","ALB","Public Sector: Defense & arms trade",8
"312","ALB","Public Sector: Government finance",1
"313","ALB","Public Sector: Government finance: Deficit & financing",10
"314","ALB","Public Sector: Government finance: Expense",13
"315","ALB","Public Sector: Government finance: Revenue",22
"316","ALB","Public Sector: Policy & institutions",75
"317","ALB","Social Protection & Labor: Economic activity",74
"318","ALB","Social Protection & Labor: Labor force structure",28
"319","ALB","Social Protection & Labor: Migration",5
"320","ALB","Social Protection & Labor: Performance",27
"321","ALB","Social Protection & Labor: Unemployment",24
"322","ALB","Trade",1
"323","AND","Economic Policy & Debt: Balance of payments: Capital & financial account",7
"324","AND","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"325","AND","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"326","AND","Economic Policy & Debt: Balance of payments: Current account: Transfers",6
"327","AND","Economic Policy & Debt: National accounts: Adjusted savings & income",8
"328","AND","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"329","AND","Economic Policy & Debt: National accounts: Growth rates",6
"330","AND","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",4
"331","AND","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"332","AND","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",9
"333","AND","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",1
"334","AND","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",4
"335","AND","Economic Policy & Debt: National accounts: Shares of GDP & other",4
"336","AND","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",3
"337","AND","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"338","AND","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",7
"339","AND","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"340","AND","Economic Policy & Debt: Purchasing power parity",11
"341","AND","Education: Efficiency",12
"342","AND","Education: Inputs",42
"343","AND","Education: Outcomes",33
"344","AND","Education: Participation",35
"345","AND","Environment: Agricultural production",3
"346","AND","Environment: Biodiversity & protected areas",6
"347","AND","Environment: Density & urbanization",7
"348","AND","Environment: Emissions",28
"349","AND","Environment: Energy production & use",9
"350","AND","Environment: Freshwater",2
"351","AND","Environment: Land use",20
"352","AND","Environment: Natural resources contribution to GDP",3
"353","AND","Financial Sector: Exchange rates & prices",6
"354","AND","Gender: Public life & decision making",1
"355","AND","Health: Disease prevention",15
"356","AND","Health: Health systems",19
"357","AND","Health: Mortality",21
"358","AND","Health: Nutrition",5
"359","AND","Health: Population: Dynamics",10
"360","AND","Health: Population: Structure",58
"361","AND","Health: Reproductive health",3
"362","AND","Health: Risk factors",11
"363","AND","Health: Universal Health Coverage",1
"364","AND","Infrastructure: Communications",13
"365","AND","Infrastructure: Technology",7
"366","AND","Infrastructure: Transportation",2
"367","AND","Private Sector & Trade: Exports",11
"368","AND","Private Sector & Trade: Imports",11
"369","AND","Private Sector & Trade: Total merchandise trade",1
"370","AND","Private Sector & Trade: Trade indexes",5
"371","AND","Private Sector & Trade: Trade price indices",2
"372","AND","Private Sector & Trade: Travel & tourism",9
"373","AND","Public Sector: Conflict & fragility",3
"374","AND","Public Sector: Policy & institutions",39
"375","AND","Social Protection & Labor: Labor force structure",2
"376","AND","Social Protection & Labor: Migration",4
"377","ARE","Economic Policy & Debt: Balance of payments: Capital & financial account",4
"378","ARE","Economic Policy & Debt: Balance of payments: Reserves & other items",4
"379","ARE","Economic Policy & Debt: National accounts: Adjusted savings & income",21
"380","ARE","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"381","ARE","Economic Policy & Debt: National accounts: Growth rates",16
"382","ARE","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",4
"383","ARE","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"384","ARE","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"385","ARE","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"386","ARE","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",8
"387","ARE","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",14
"388","ARE","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",4
"389","ARE","Economic Policy & Debt: National accounts: Shares of GDP & other",23
"390","ARE","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",4
"391","ARE","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"392","ARE","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"393","ARE","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",6
"394","ARE","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"395","ARE","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"396","ARE","Economic Policy & Debt: Official development assistance",29
"397","ARE","Economic Policy & Debt: Purchasing power parity",12
"398","ARE","Education: Efficiency",21
"399","ARE","Education: Inputs",39
"400","ARE","Education: Outcomes",49
"401","ARE","Education: Participation",44
"402","ARE","Employment and Time Use",1
"403","ARE","Environment: Agricultural production",13
"404","ARE","Environment: Biodiversity & protected areas",7
"405","ARE","Environment: Density & urbanization",11
"406","ARE","Environment: Emissions",42
"407","ARE","Environment: Energy production & use",27
"408","ARE","Environment: Freshwater",9
"409","ARE","Environment: Land use",22
"410","ARE","Environment: Natural resources contribution to GDP",6
"411","ARE","Financial Sector: Access",14
"412","ARE","Financial Sector: Assets",14
"413","ARE","Financial Sector: Capital markets",7
"414","ARE","Financial Sector: Exchange rates & prices",8
"415","ARE","Financial Sector: Monetary holdings (liabilities)",4
"416","ARE","Gender: Public life & decision making",1
"417","ARE","Health",2
"418","ARE","Health: Disease prevention",15
"419","ARE","Health: Health systems",20
"420","ARE","Health: Mortality",39
"421","ARE","Health: Nutrition",7
"422","ARE","Health: Population: Dynamics",10
"423","ARE","Health: Population: Structure",58
"424","ARE","Health: Reproductive health",11
"425","ARE","Health: Risk factors",19
"426","ARE","Health: Universal Health Coverage",2
"427","ARE","Infrastructure: Communications",11
"428","ARE","Infrastructure: Technology",13
"429","ARE","Infrastructure: Transportation",9
"430","ARE","Poverty: Income distribution",9
"431","ARE","Poverty: Poverty rates",7
"432","ARE","Poverty: Shared prosperity",4
"433","ARE","Private Sector & Trade: Business environment",31
"434","ARE","Private Sector & Trade: Exports",17
"435","ARE","Private Sector & Trade: Imports",17
"436","ARE","Private Sector & Trade: Private infrastructure investment",2
"437","ARE","Private Sector & Trade: Tariffs",24
"438","ARE","Private Sector & Trade: Total merchandise trade",1
"439","ARE","Private Sector & Trade: Trade facilitation",16
"440","ARE","Private Sector & Trade: Trade indexes",5
"441","ARE","Private Sector & Trade: Trade price indices",2
"442","ARE","Private Sector & Trade: Travel & tourism",4
"443","ARE","Public Sector: Conflict & fragility",5
"444","ARE","Public Sector: Defense & arms trade",8
"445","ARE","Public Sector: Government finance: Deficit & financing",10
"446","ARE","Public Sector: Government finance: Expense",13
"447","ARE","Public Sector: Government finance: Revenue",15
"448","ARE","Public Sector: Policy & institutions",51
"449","ARE","Social Protection & Labor: Economic activity",41
"450","ARE","Social Protection & Labor: Labor force structure",28
"451","ARE","Social Protection & Labor: Migration",5
"452","ARE","Social Protection & Labor: Unemployment",24
"453","ARE","Trade",1
"454","ARG","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"455","ARG","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"456","ARG","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"457","ARG","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"458","ARG","Economic Policy & Debt: Balance of payments: Reserves & other items",6
"459","ARG","Economic Policy & Debt: External debt: Debt outstanding",9
"460","ARG","Economic Policy & Debt: External debt: Debt ratios & other items",11
"461","ARG","Economic Policy & Debt: External debt: Debt service",5
"462","ARG","Economic Policy & Debt: External debt: Net flows",18
"463","ARG","Economic Policy & Debt: National accounts: Adjusted savings & income",28
"464","ARG","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"465","ARG","Economic Policy & Debt: National accounts: Growth rates",16
"466","ARG","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"467","ARG","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"468","ARG","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"469","ARG","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"470","ARG","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"471","ARG","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",13
"472","ARG","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"473","ARG","Economic Policy & Debt: National accounts: Shares of GDP & other",24
"474","ARG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"475","ARG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"476","ARG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"477","ARG","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"478","ARG","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"479","ARG","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"480","ARG","Economic Policy & Debt: Official development assistance",57
"481","ARG","Economic Policy & Debt: Purchasing power parity",13
"482","ARG","Education: Efficiency",18
"483","ARG","Education: Inputs",27
"484","ARG","Education: Outcomes",37
"485","ARG","Education: Participation",44
"486","ARG","Employment and Time Use",1
"487","ARG","Environment: Agricultural production",13
"488","ARG","Environment: Biodiversity & protected areas",7
"489","ARG","Environment: Density & urbanization",12
"490","ARG","Environment: Emissions",42
"491","ARG","Environment: Energy production & use",27
"492","ARG","Environment: Freshwater",9
"493","ARG","Environment: Land use",24
"494","ARG","Environment: Natural resources contribution to GDP",6
"495","ARG","Financial Sector: Access",13
"496","ARG","Financial Sector: Assets",13
"497","ARG","Financial Sector: Capital markets",7
"498","ARG","Financial Sector: Exchange rates & prices",6
"499","ARG","Financial Sector: Interest rates",4
"500","ARG","Financial Sector: Monetary holdings (liabilities)",4
"501","ARG","Gender: Agency",2
"502","ARG","Gender: Participation & access",2
"503","ARG","Gender: Public life & decision making",1
"504","ARG","Health",2
"505","ARG","Health: Disease prevention",16
"506","ARG","Health: Health systems",21
"507","ARG","Health: Mortality",39
"508","ARG","Health: Nutrition",24
"509","ARG","Health: Population: Dynamics",10
"510","ARG","Health: Population: Structure",58
"511","ARG","Health: Reproductive health",12
"512","ARG","Health: Risk factors",24
"513","ARG","Health: Universal Health Coverage",6
"514","ARG","Infrastructure: Communications",13
"515","ARG","Infrastructure: Technology",13
"516","ARG","Infrastructure: Transportation",10
"517","ARG","Poverty: Income distribution",9
"518","ARG","Poverty: Poverty rates",10
"519","ARG","Poverty: Shared prosperity",4
"520","ARG","Private Sector & Trade: Business environment",54
"521","ARG","Private Sector & Trade: Exports",23
"522","ARG","Private Sector & Trade: Imports",23
"523","ARG","Private Sector & Trade: Private infrastructure investment",8
